store_id,location,page,map
036154,"Taco Bell, Middletown, Kentucky",https://locations.tacobell.com/ky/middletown/12529-shelbyville-rd.html,"https://www.google.com/maps/dir/?api=1&destination=38.24499927422181,-85.52281111478806"
024104,"Taco Bell, Monticello, Kentucky",https://locations.tacobell.com/ky/monticello/1960-n-main-st.html,"https://www.google.com/maps/dir/?api=1&destination=36.85467280439808,-84.83840705515301"
022845,"Taco Bell, Morehead, Kentucky",https://locations.tacobell.com/ky/morehead/300-old-flemingsburg-rd.html,"https://www.google.com/maps/dir/?api=1&destination=38.17944236674775,-83.44357529285844"
033496,"Taco Bell, Morganfield, Kentucky",https://locations.tacobell.com/ky/morganfield/716-us-hwy-60-east.html,"https://www.google.com/maps/dir/?api=1&destination=37.689408758461525,-87.90587478678799"
022285,"Taco Bell, Mount Sterling, Kentucky",https://locations.tacobell.com/ky/mount-sterling/213-indian-mound-drive.html,"https://www.google.com/maps/dir/?api=1&destination=38.07413832148942,-83.95090013988113"
030446,"Taco Bell, Mount Vernon, Kentucky",https://locations.tacobell.com/ky/mount-vernon/1090-richmond-street.html,"https://www.google.com/maps/dir/?api=1&destination=37.36788658039011,-84.33601204662705"
022842,"Taco Bell, Mount Washington, Kentucky",https://locations.tacobell.com/ky/mount-washington/149-oakbrooke-drive.html,"https://www.google.com/maps/dir/?api=1&destination=38.05172815869135,-85.53939250996336"
037108,"Taco Bell, Munfordville, Kentucky",https://locations.tacobell.com/ky/munfordville/103-old-main-street.html,"https://www.google.com/maps/dir/?api=1&destination=37.28932694890361,-85.9035002043339"
037484,"Taco Bell, Murray, Kentucky",https://locations.tacobell.com/ky/murray/402-n-12th-st.html,"https://www.google.com/maps/dir/?api=1&destination=36.61582150038257,-88.31460043787956"
003302,"Taco Bell, Newport, Kentucky",https://locations.tacobell.com/ky/newport/30-carothers-rd.html,"https://www.google.com/maps/dir/?api=1&destination=39.08482183546695,-84.48054403560549"
039122,"Taco Bell, Oak Grove, Kentucky",https://locations.tacobell.com/ky/oak-grove/213-claire-ave-.html,"https://www.google.com/maps/dir/?api=1&destination=36.671208248666,-87.4440448822218"
